'Velocity (m/s)', 'Force parallel v (N)', 'Force normal v (N)', "Particles per tick", 'Time to complete (s)', 'Time of completion','Angular velocity (rad/s)'
41,1.3310602610383975,0.04958206004187043,55,11,Thu Apr 30 20:28:41 2026,0.0
41,1.3078179742292828,-0.015451819934283618,55,10,Thu Apr 30 20:28:55 2026,0.0
41,1.2662972433240822,0.01865089317228072,55,11,Thu Apr 30 20:29:08 2026,0.0
41,1.2994837397246424,0.08089853698278292,55,13,Thu Apr 30 20:31:57 2026,1.0
41,1.3153836459230417,0.14831805642497922,55,13,Thu Apr 30 20:32:29 2026,1.0
41,1.353754456521376,0.04318296023784321,55,13,Thu Apr 30 20:32:53 2026,1.0
41,1.2550808463525844,0.03240175272497005,55,14,Thu Apr 30 20:33:43 2026,1.0
41,1.2908000740351828,0.11876361168765946,55,16,Thu Apr 30 20:34:15 2026,1.0
41,1.2388345517160058,-0.014792636906632467,55,13,Thu Apr 30 20:34:46 2026,1.0
40,1.2000538185592116,0.03475761793366618,55,20,Sat Apr 25 22:52:20 2026,0.0
40,1.121647887299723,-0.01642439675661851,55,13,Sat Apr 25 22:52:43 2026,0.0
40,1.2402989400867324,0.0178203294565771,55,18,Sat Apr 25 22:53:36 2026,0.0
40,1.071231110836223,0.15745125251773986,55,11,Sat Apr 25 22:55:31 2026,1.0
40,0.9619968257858219,0.1143431186083679,55,16,Sat Apr 25 22:56:02 2026,1.0
40,1.037261034521645,0.18005131608094396,55,18,Sat Apr 25 22:56:39 2026,1.0
40,1.1450139070613834,0.0915904445587738,55,14,Sat Apr 25 22:57:09 2026,1.0
40,0.9682862437502286,0.09455765737224064,55,22,Sat Apr 25 22:57:52 2026,1.0
40,1.106363513226551,0.004024201149551158,55,24,Sat Apr 25 22:58:42 2026,1.0
39,0.8577836953811812,0.025509122112118733,45,12,Sun Apr 26 10:35:15 2026,0.0
39,0.9267671428808754,-0.027874138442989707,45,16,Sun Apr 26 10:35:49 2026,0.0
39,0.8643333612430605,0.00850604228414496,45,24,Sun Apr 26 10:37:34 2026,0.0
39,0.9122479055595446,0.12820687223034682,45,9,Sun Apr 26 10:38:57 2026,1.0
39,0.7789478085139107,0.11002472992380848,45,12,Sun Apr 26 10:39:20 2026,1.0
39,0.8702975931977294,0.12893791580000655,45,12,Sun Apr 26 10:39:59 2026,1.0
39,0.8900599005321251,0.1290079476769218,45,9,Sun Apr 26 10:40:25 2026,1.0
39,0.8253521782990803,0.07291225653974505,45,14,Sun Apr 26 10:41:29 2026,1.0
39,0.7892864547213704,0.05220853765540312,45,24,Sun Apr 26 10:42:25 2026,1.0
